Açao Orçamentária;Categoria de Programação;Unidade Administrativa;Despesa Agregada;Plano Interno;GND;Elemento;Subelemento;Item de Despesa;Proposta UA-1;Proposta Final;;
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;MANUTENÇÃO GERAL;CAMS - COORDENADORIA DE ASSISTENCIA MEDICA E SOCIAL;ASSINATURAS DE PERIÓDICOS E ANUIDADES;AOSA ASSINA;33 - OUTRAS DESPESAS CORRENTES;33.90.39 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;3390.39.01 - ASSINATURAS DE PERIÓDICOS E ANUIDADES;PUBLICAÇÕES DIVERSAS EM MÍDIA DIGITAL;6.000,00;6.000,00;;
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;MANUTENÇÃO GERAL;CAMS - COORDENADORIA DE ASSISTENCIA MEDICA E SOCIAL;EVENTOS;AOSA EVENTO;33 - OUTRAS DESPESAS CORRENTES;33.90.36 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA FÍSICA;3390.36.28 - SERVIÇO DE SELEÇÃO E TREINAMENTO;PALESTRANTE;25.680,00;10.000,00;;
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;MANUTENÇÃO GERAL;CAMS - COORDENADORIA DE ASSISTENCIA MEDICA E SOCIAL;EVENTOS;AOSA EVENTO;33 - OUTRAS DESPESAS CORRENTES;33.90.39 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;3390.39.22 - EXPOSIÇÕES, CONGRESSOS E CONFERÊNCIAS;LOCAÇÃO DE AMBIENTE PARA REUNIÕES;10.000,00;10.000,00;;
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;MANUTENÇÃO GERAL;CAMS - COORDENADORIA DE ASSISTENCIA MEDICA E SOCIAL;MATERIAL DE CONSUMO MÉDICO E ODONTOLOGICO;AMO MATMEDO;33 - OUTRAS DESPESAS CORRENTES;33.90.30 - MATERIAL DE CONSUMO;3390.30.09 - MATERIAL FARMACOLÓGICO;MATERIAL FARMACOLÓGICO DIVERSOS;15.298,00;8.000,00;;
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;MANUTENÇÃO GERAL;CAMS - COORDENADORIA DE ASSISTENCIA MEDICA E SOCIAL;MATERIAL DE CONSUMO MÉDICO E ODONTOLOGICO;AMO MATMEDO;33 - OUTRAS DESPESAS CORRENTES;33.90.30 - MATERIAL DE CONSUMO;3390.30.09 - MATERIAL FARMACOLÓGICO;VACINAS;80.000,00;50.000,00;;
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;MANUTENÇÃO GERAL;CAMS - COORDENADORIA DE ASSISTENCIA MEDICA E SOCIAL;MATERIAL DE CONSUMO MÉDICO E ODONTOLOGICO;AMO MATMEDO;33 - OUTRAS DESPESAS CORRENTES;33.90.30 - MATERIAL DE CONSUMO;3390.30.10 - MATERIAL ODONTOLÓGICO;MATERIAL ODONTOLOGICO EM GERAL;27.296,58;10.000,00;;
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;MANUTENÇÃO GERAL;CAMS - COORDENADORIA DE ASSISTENCIA MEDICA E SOCIAL;MATERIAL DE CONSUMO MÉDICO E ODONTOLOGICO;AMO MATMEDO;33 - OUTRAS DESPESAS CORRENTES;33.90.30 - MATERIAL DE CONSUMO;3390.30.36 - MATERIAL HOSPITALAR;MATERIAL HOSPITALAR DIVERSOS;31.551,61;10.000,00;;
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;MANUTENÇÃO GERAL;CSEG - COORDENADORIA DE SERVIÇOS GERAIS;ALIMENTAÇÃO;AOSA ALIMEN;33 - OUTRAS DESPESAS CORRENTES;33.90.30 - MATERIAL DE CONSUMO;3390.30.07 - GENEROS DE ALIMENTAÇÃO;KIT LANCHES;55.000,00;40.000,00;;
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;MANUTENÇÃO GERAL;CSEG - COORDENADORIA DE SERVIÇOS GERAIS;APOIO ADMINISTRATIVO, TÉCNICO E OPERACIONAL;AOSA APOIO;33 - OUTRAS DESPESAS CORRENTES;33.90.37 - LOCAÇÃO DE MÃO DE OBRA;3390.37.01 - APOIO ADMINISTRATIVO, TÉCNICO E OPERACIONAL;AUXILIAR DE SERVIÇOS GERAIS;1.117.197,96;1.117.197,96;;
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;MANUTENÇÃO GERAL;CSEG - COORDENADORIA DE SERVIÇOS GERAIS;APOIO ADMINISTRATIVO, TÉCNICO E OPERACIONAL;AOSA APOIO;33 - OUTRAS DESPESAS CORRENTES;33.90.37 - LOCAÇÃO DE MÃO DE OBRA;3390.37.01 - APOIO ADMINISTRATIVO, TÉCNICO E OPERACIONAL;MOTORISTA;655.279,20;655.279,20;;
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;MANUTENÇÃO GERAL;CSEG - COORDENADORIA DE SERVIÇOS GERAIS;APOIO ADMINISTRATIVO, TÉCNICO E OPERACIONAL;AOSA APOIO;33 - OUTRAS DESPESAS CORRENTES;33.90.37 - LOCAÇÃO DE MÃO DE OBRA;3390.37.01 - APOIO ADMINISTRATIVO, TÉCNICO E OPERACIONAL;OPERADOR DE SOM;376.606,51;311.181,70;;
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;MANUTENÇÃO GERAL;CSEG - COORDENADORIA DE SERVIÇOS GERAIS;APOIO ADMINISTRATIVO, TÉCNICO E OPERACIONAL;AOSA APOIO;33 - OUTRAS DESPESAS CORRENTES;33.90.37 - LOCAÇÃO DE MÃO DE OBRA;3390.37.01 - APOIO ADMINISTRATIVO, TÉCNICO E OPERACIONAL;PORTEIROS;938.202,24;938.349,98;;
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;MANUTENÇÃO GERAL;CSEG - COORDENADORIA DE SERVIÇOS GERAIS;APOIO ADMINISTRATIVO, TÉCNICO E OPERACIONAL;AOSA APOIO;33 - OUTRAS DESPESAS CORRENTES;33.90.39 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;3390.39.46 - SERVIÇOS DOMÉSTICOS;SERVIÇOS DE LAVANDERIA;32.349,98;15.000,00;;
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;MANUTENÇÃO GERAL;CSEG - COORDENADORIA DE SERVIÇOS GERAIS;APOIO ADMINISTRATIVO, TÉCNICO E OPERACIONAL;AOSA APOIO;33 - OUTRAS DESPESAS CORRENTES;33.90.39 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;3390.39.75 - SERVIÇO DE INCINERAÇÃO/DESTRUIÇÃO DE MATERIAL;SERVIÇO DE INCINERAÇÃO, DESTRUIÇÃO E DEMOLIÇÃO;4.416,00;4.416,00;;
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;MANUTENÇÃO GERAL;CSEG - COORDENADORIA DE SERVIÇOS GERAIS;AQUISIÇÃO DE SOFTWARE;AREA AQISOF;44 - INVESTIMENTOS;44.90.39 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;4490.39.93 - AQUISIÇÃO DE SOFTWARE;AQUISIÇÃO DE SOFTWARE;10.200,00;10.200,00;;
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;MANUTENÇÃO GERAL;CSEG - COORDENADORIA DE SERVIÇOS GERAIS;COMBUSTÍVEIS;AOSA COMBUS;33 - OUTRAS DESPESAS CORRENTES;33.90.30 - MATERIAL DE CONSUMO;3390.30.01 - COMBUSTIVEIS E LUBRIFICANTES AUTOMOTIVOS;COMBUSTÍVEIS;166.779,19;90.000,00;;
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;MANUTENÇÃO GERAL;CSEG - COORDENADORIA DE SERVIÇOS GERAIS;ENERGIA ELÉTRICA;AIEF ENERGI;33 - OUTRAS DESPESAS CORRENTES;33.90.39 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;3390.39.43 - SERVIÇOS DE ENERGIA ELÉTRICA;SERVIÇOS DE ENERGIA ELETRICA;762.300,00;715.000,00;;
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;MANUTENÇÃO GERAL;CSEG - COORDENADORIA DE SERVIÇOS GERAIS;ENERGIA ELÉTRICA;AIEF ENERGI;33 - OUTRAS DESPESAS CORRENTES;33.90.47 - OBRIGAÇÕES TRIBUTÁRIAS E CONTRIBUTIVAS;3390.47.22 - CONTRIBUIÇÃO P/ CUSTEIO DE ILUMINAÇÃO PÚBLICA;CONTRIBUIÇÃO PARA CUSTEIO DE ILUMINAÇÃO PÚBLICA;62.091,36;60.000,00;;
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;MANUTENÇÃO GERAL;CSEG - COORDENADORIA DE SERVIÇOS GERAIS;FRETES E TRANSPORTE DE ENCOMENDAS;AOSA FRETES;33 - OUTRAS DESPESAS CORRENTES;33.90.39 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;3390.39.74 - FRETES E TRANSPORTE DE ENCOMENDAS;SERVICOS DE FRETES E CARRETOS;171.000,00;120.000,00;;
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;MANUTENÇÃO GERAL;CSEG - COORDENADORIA DE SERVIÇOS GERAIS;LIMPEZA E CONSERVAÇÃO;AIEF LIMPEZ;33 - OUTRAS DESPESAS CORRENTES;33.90.37 - LOCAÇÃO DE MÃO DE OBRA;3390.37.02 - LIMPEZA E CONSERVAÇÃO;LIMPEZA E CONSERVAÇÃO;3.311.640,00;2.856.540,30;;
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;MANUTENÇÃO GERAL;CSEG - COORDENADORIA DE SERVIÇOS GERAIS;LOCAÇÃO DE MÁQUINAS, EQUIPAMENTOS E BENS MÓVEIS;AOSA LOCMAQ;33 - OUTRAS DESPESAS CORRENTES;33.90.39 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;3390.39.12 - LOCAÇÃO DE MÁQUINAS E EQUIPAMENTOS;LOCAÇÃO DE MÁQUINAS REPROGRÁFICAS;11.436,00;10.000,00;;
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;MANUTENÇÃO GERAL;CSEG - COORDENADORIA DE SERVIÇOS GERAIS;MANUTENÇÃO E CONSERVAÇÃO DE MÁQUINAS E EQUIPAMENTOS;AOSA MANMAQ;33 - OUTRAS DESPESAS CORRENTES;33.90.39 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;3390.39.17 - MANUTENÇÃO E CONSERVAÇÃO DE MÁQUINAS E  EQUIPAMENT;MANUTENÇÃO E CONSERVAÇÃO DE MÁQUINAS E EQUIPAMENTOS;38.464,08;30.000,00;;
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;MANUTENÇÃO GERAL;CSEG - COORDENADORIA DE SERVIÇOS GERAIS;MANUTENÇÃO E CONSERVAÇÃO DE MÁQUINAS E EQUIPAMENTOS;AOSA MANMAQ;33 - OUTRAS DESPESAS CORRENTES;33.90.39 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;3390.39.17 - MANUTENÇÃO E CONSERVAÇÃO DE MÁQUINAS E  EQUIPAMENT;SERVIÇOS DE MANUTENÇÃO, CONSERVAÇÃO E REPAROS EM CENTRAL TELEFÔNICA;178.145,40;178.145,40;;
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;MANUTENÇÃO GERAL;CSEG - COORDENADORIA DE SERVIÇOS GERAIS;MANUTENÇÃO E CONSERVAÇÃO DE MÁQUINAS E EQUIPAMENTOS;AOSA MANMAQ;33 - OUTRAS DESPESAS CORRENTES;33.90.39 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;3390.39.20 - MANUT. E CONS. DE BENS MÓVEIS DE OUTR. NATUREZAS;SERVIÇO DE MANUTENÇÃO DE MÓVEIS;22.000,00;22.000,00;;
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;MANUTENÇÃO GERAL;CSEG - COORDENADORIA DE SERVIÇOS GERAIS;MANUTENÇÃO E LEGALIZAÇÃO DE VEÍCULOS;AOSA MANVEI;33 - OUTRAS DESPESAS CORRENTES;33.90.30 - MATERIAL DE CONSUMO;3390.30.39 - MATERIAL PARA MANUTENÇÃO DE VEÍCULOS;MATERIAL PARA MANUTENÇÃO DE VEÍCULOS;75.000,00;50.000,00;;
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;MANUTENÇÃO GERAL;CSEG - COORDENADORIA DE SERVIÇOS GERAIS;MANUTENÇÃO E LEGALIZAÇÃO DE VEÍCULOS;AOSA MANVEI;33 - OUTRAS DESPESAS CORRENTES;33.90.39 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;3390.39.19 - MANUTENÇÃO E CONSERVAÇÃO DE VEÍCULOS;SERVIÇOS DE MANUTENÇÃO DE VEÍCULOS;43.000,00;20.000,00;;
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;MANUTENÇÃO GERAL;CSEG - COORDENADORIA DE SERVIÇOS GERAIS;MANUTENÇÃO E LEGALIZAÇÃO DE VEÍCULOS;AOSA MANVEI;33 - OUTRAS DESPESAS CORRENTES;33.90.39 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;3390.39.69 - SEGUROS EM GERAL;SEGURO OBRIGATORIO DE VEICULOS;7.500,00;7.500,00;;
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;MANUTENÇÃO GERAL;CSEG - COORDENADORIA DE SERVIÇOS GERAIS;MANUTENÇÃO E LEGALIZAÇÃO DE VEÍCULOS;AOSA MANVEI;33 - OUTRAS DESPESAS CORRENTES;33.90.47 - OBRIGAÇÕES TRIBUTÁRIAS E CONTRIBUTIVAS;3390.47.10 - TAXAS;TAXA DE LICENCIAMENTO DE VEÍCULOS AUTOMOTORES;5.258,42;5.258,42;;
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;MANUTENÇÃO GERAL;CSEG - COORDENADORIA DE SERVIÇOS GERAIS;MANUTENÇÃO PREDIAL;AIEF MANPRE;33 - OUTRAS DESPESAS CORRENTES;33.90.30 - MATERIAL DE CONSUMO;3390.30.25 - MATERIAL PARA MANUTENÇÃO DE BENS MÓVEIS;PEÇAS PARA AR CONDICIONADO;20.000,00;0,00;;
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;MANUTENÇÃO GERAL;CSEG - COORDENADORIA DE SERVIÇOS GERAIS;MANUTENÇÃO PREDIAL;AIEF MANPRE;33 - OUTRAS DESPESAS CORRENTES;33.90.37 - LOCAÇÃO DE MÃO DE OBRA;3390.37.04 - MANUTENÇÃO E CONSERVAÇÃO DE BENS IMÓVEIS;LOCAÇÃO DE MÃO-DE-OBRA;534.852,60;503.533,23;;
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;MANUTENÇÃO GERAL;CSEG - COORDENADORIA DE SERVIÇOS GERAIS;MANUTENÇÃO PREDIAL;AIEF MANPRE;33 - OUTRAS DESPESAS CORRENTES;33.90.39 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;3390.39.16 - MANUTENÇÃO E CONSERVAÇÃO DE BENS IMÓVEIS;MANUTENÇÃO DE ELEVADORES;22.235,90;22.235,90;;
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;MANUTENÇÃO GERAL;CSEG - COORDENADORIA DE SERVIÇOS GERAIS;MANUTENÇÃO PREDIAL;AIEF MANPRE;33 - OUTRAS DESPESAS CORRENTES;33.90.39 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;3390.39.16 - MANUTENÇÃO E CONSERVAÇÃO DE BENS IMÓVEIS;MANUTENÇÃO DE PORTAS E PORTÕES ELETRÔNICOS;8.000,00;0,00;;
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;MANUTENÇÃO GERAL;CSEG - COORDENADORIA DE SERVIÇOS GERAIS;MANUTENÇÃO PREDIAL;AIEF MANPRE;33 - OUTRAS DESPESAS CORRENTES;33.90.39 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;3390.39.16 - MANUTENÇÃO E CONSERVAÇÃO DE BENS IMÓVEIS;MANUTENÇÃO E LIMPEZA DE FOSSAS E CISTERNAS;35.000,00;0,00;;
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;MANUTENÇÃO GERAL;CSEG - COORDENADORIA DE SERVIÇOS GERAIS;MANUTENÇÃO PREDIAL;AIEF MANPRE;33 - OUTRAS DESPESAS CORRENTES;33.90.39 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;3390.39.16 - MANUTENÇÃO E CONSERVAÇÃO DE BENS IMÓVEIS;SERVICOS DE PINTURA;800.000,00;80.000,00;;
02.122.0570.20GP.0053 - JULGAMENTO DE CAUSAS E GESTÃO ADMINISTRATIVA NA JUSTIÇA ELEITORAL - NO DISTRITO FEDERAL;MANUTENÇÃO GERAL;CSEG - COORDENADORIA DE SERVIÇOS GERAIS;MANUTENÇÃO PREDIAL;AIEF MANPRE;33 - OUTRAS DESPESAS CORRENTES;33.90.39 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;3390.39.16 - MANUTENÇÃO E CONSERVAÇÃO DE BENS IMÓVEIS;SERVICOS DE REPAROS E REFORMAS DE IMOVEIS EM GERAL;1.390.000,00;218.466,37;;
