Unidade Orçamentária;;UG Executora;;PT;Ação Governo;;Plano Orçamentário;;PTRES;PI;;Fonte SOF;Fonte Recursos;Esfera Orçamentária;;Categoria Econômica Despesa;;Grupo Despesa;;Elemento Despesa;;Natureza Despesa;;Natureza Despesa Detalhada;;Tipo NE CCor;;Modalidade Licitação NE CCor;;Inciso NE CCor;Dia Emissão NE CCor;Mês Emissão NE CCor;Ano Emissão NE CCor;Nota Empenho CCor;Núm. Processo NE CCor;Doc - Observação;Favorecido NE CCor;;DESPESAS EMPENHADAS (CONTROLE EMPENHO);DESPESAS LIQUIDADAS (CONTROLE EMPENHO);DESPESAS INSCRITAS EM RPNP (CONTROLE EMPENHO);DESPESAS PAGAS (CONTROLE EMPENHO);RESTOS A PAGAR PROCESSADOS REINSCRITOS;RESTOS A PAGAR PROCESSADOS A PAGAR;RESTOS A PAGAR NAO PROCESSADOS INSCRITOS;RESTOS A PAGAR NAO PROCESSADOS REINSCRITOS;RESTOS A PAGAR NAO PROCESSADOS CANCELADOS;RESTOS A PAGAR NAO PROCESSADOS LIQUIDADOS;RESTOS A PAGAR NAO PROCESSADOS PAGOS;RESTOS A PAGAR NAO PROCESSADOS A PAGAR;LIQUIDACOES TOTAIS (EXERCICIO E RPNP);PAGAMENTOS TOTAIS (EXERCICIO E RAP)
14101;TRIBUNAL SUPERIOR ELEITORAL;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;02061057042690001;4269;PLEITOS ELEITORAIS;0000;PLEITOS ELEITORAIS - DESPESAS DIVERSAS;107670;CAR HOREXT;ELEIC - SERVICO EXTRAORDINARIO DE CARTORIOS.;0100;RECURSOS ORDINARIOS;1;ORCAMENTO FISCAL;3;DESPESAS CORRENTES;1;PESSOAL E ENCARGOS SOCIAIS;92;DESPESAS DE EXERCICIOS ANTERIORES;319092;DESPESAS DE EXERCICIOS ANTERIORES;31909216;OUTRAS DESPESAS VARIAVEIS - PESSOAL CIVIL;5;GLOBAL;08;NAO SE APLICA;-8;19/12/2017;DEZ/2017;2017;070025000012017NE000699;SERV.EXTRAORDINARIOS;INFORMAMOS A VOSSA SENHORIA QUE ELABORAMOS A FOLHA DE PAGAMENTO SUPLEMENTAR Nº 07 DE DEZEMBRO/2017, REFERENTE A ACERTOS FINANCEIROS DO PERIODO ELEITORAL/2014. P.A. 0006345-35.2017.6.07.8100. DADOS BANCARIOS CEF;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;0,00;0,00;;28.991,55;;;;;;;;;0,00;28.991,55
14101;TRIBUNAL SUPERIOR ELEITORAL;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;02061057042690001;4269;PLEITOS ELEITORAIS;0000;PLEITOS ELEITORAIS - DESPESAS DIVERSAS;107670;CAR HOREXT;ELEIC - SERVICO EXTRAORDINARIO DE CARTORIOS.;0100;RECURSOS ORDINARIOS;1;ORCAMENTO FISCAL;3;DESPESAS CORRENTES;1;PESSOAL E ENCARGOS SOCIAIS;92;DESPESAS DE EXERCICIOS ANTERIORES;319092;DESPESAS DE EXERCICIOS ANTERIORES;31909216;OUTRAS DESPESAS VARIAVEIS - PESSOAL CIVIL;5;GLOBAL;08;NAO SE APLICA;-8;19/12/2017;DEZ/2017;2017;070025000012017NE000699;SERV.EXTRAORDINARIOS;INFORMAMOS A VOSSA SENHORIA QUE ELABORAMOS A FOLHA DE PAGAMENTO SUPLEMENTAR Nº 07 DE DEZEMBRO/2017, REFERENTE A ACERTOS FINANCEIROS DO PERIODO ELEITORAL/2014. P.A. 0006345-35.2017.6.07.8100. DADOS BANCARIOS ITAU;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;0,00;0,00;;3.756,44;;;;;;;;;0,00;3.756,44
14101;TRIBUNAL SUPERIOR ELEITORAL;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;02061057042690001;4269;PLEITOS ELEITORAIS;0000;PLEITOS ELEITORAIS - DESPESAS DIVERSAS;107670;FUN HOREXT;ELEIC - SERVICO EXTRAORDINARIO SERVIDORES;0100;RECURSOS ORDINARIOS;1;ORCAMENTO FISCAL;3;DESPESAS CORRENTES;1;PESSOAL E ENCARGOS SOCIAIS;16;OUTRAS DESPESAS VARIAVEIS - PESSOAL CIVIL;319016;OUTRAS DESPESAS VARIAVEIS - PESSOAL CIVIL;31901644;SERVICOS EXTRAORDINARIOS;5;GLOBAL;08;NAO SE APLICA;-8;14/10/2016;OUT/2016;2016;070025000012016NE000430;SERVICOS EXTRAORDINA;NAO SE APLICA;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;;;;;;;1.823,93;;;;;1.823,93;;
14101;TRIBUNAL SUPERIOR ELEITORAL;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;02061057042690001;4269;PLEITOS ELEITORAIS;0000;PLEITOS ELEITORAIS - DESPESAS DIVERSAS;107670;FUN HOREXT;ELEIC - SERVICO EXTRAORDINARIO SERVIDORES;0100;RECURSOS ORDINARIOS;1;ORCAMENTO FISCAL;3;DESPESAS CORRENTES;1;PESSOAL E ENCARGOS SOCIAIS;92;DESPESAS DE EXERCICIOS ANTERIORES;319092;DESPESAS DE EXERCICIOS ANTERIORES;31909216;OUTRAS DESPESAS VARIAVEIS - PESSOAL CIVIL;5;GLOBAL;08;NAO SE APLICA;-8;19/12/2017;DEZ/2017;2017;070025000012017NE000698;SERV.EXTRAORDINARIOS;2017NECT - SERVICOS EXTRAORDINARIOS. PLEITO 2014. EXERCICIOS ANTERIORES.;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;90.967,68;;;;;;;;;;;;;
14101;TRIBUNAL SUPERIOR ELEITORAL;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;02061057042690001;4269;PLEITOS ELEITORAIS;0000;PLEITOS ELEITORAIS - DESPESAS DIVERSAS;107670;FUN HOREXT;ELEIC - SERVICO EXTRAORDINARIO SERVIDORES;0100;RECURSOS ORDINARIOS;1;ORCAMENTO FISCAL;3;DESPESAS CORRENTES;1;PESSOAL E ENCARGOS SOCIAIS;92;DESPESAS DE EXERCICIOS ANTERIORES;319092;DESPESAS DE EXERCICIOS ANTERIORES;31909216;OUTRAS DESPESAS VARIAVEIS - PESSOAL CIVIL;5;GLOBAL;08;NAO SE APLICA;-8;19/12/2017;DEZ/2017;2017;070025000012017NE000698;SERV.EXTRAORDINARIOS;INFORMAMOS A VOSSA SENHORIA QUE ELABORAMOS A FOLHA DE PAGAMENTO SUPLEMENTAR Nº 07 DE DEZEMBRO/2017, REFERENTE A ACERTOS FINANCEIROS DO PERIODO ELEITORAL/2014. P.A. 0006345-35.2017.6.07.8100;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;0,00;90.967,68;;;;;;;;;;;90.967,68;
14101;TRIBUNAL SUPERIOR ELEITORAL;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;02061057042690001;4269;PLEITOS ELEITORAIS;0000;PLEITOS ELEITORAIS - DESPESAS DIVERSAS;107670;FUN HOREXT;ELEIC - SERVICO EXTRAORDINARIO SERVIDORES;0100;RECURSOS ORDINARIOS;1;ORCAMENTO FISCAL;3;DESPESAS CORRENTES;1;PESSOAL E ENCARGOS SOCIAIS;92;DESPESAS DE EXERCICIOS ANTERIORES;319092;DESPESAS DE EXERCICIOS ANTERIORES;31909216;OUTRAS DESPESAS VARIAVEIS - PESSOAL CIVIL;5;GLOBAL;08;NAO SE APLICA;-8;19/12/2017;DEZ/2017;2017;070025000012017NE000698;SERV.EXTRAORDINARIOS;INFORMAMOS A VOSSA SENHORIA QUE ELABORAMOS A FOLHA DE PAGAMENTO SUPLEMENTAR Nº 07 DE DEZEMBRO/2017, REFERENTE A ACERTOS FINANCEIROS DO PERIODO ELEITORAL/2014. P.A. 0006345-35.2017.6.07.8100. DADOS BANCARIOS BB;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;0,00;0,00;;58.697,15;;;;;;;;;0,00;58.697,15
14101;TRIBUNAL SUPERIOR ELEITORAL;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;02061057042690001;4269;PLEITOS ELEITORAIS;0000;PLEITOS ELEITORAIS - DESPESAS DIVERSAS;107670;FUN HOREXT;ELEIC - SERVICO EXTRAORDINARIO SERVIDORES;0100;RECURSOS ORDINARIOS;1;ORCAMENTO FISCAL;3;DESPESAS CORRENTES;1;PESSOAL E ENCARGOS SOCIAIS;92;DESPESAS DE EXERCICIOS ANTERIORES;319092;DESPESAS DE EXERCICIOS ANTERIORES;31909216;OUTRAS DESPESAS VARIAVEIS - PESSOAL CIVIL;5;GLOBAL;08;NAO SE APLICA;-8;19/12/2017;DEZ/2017;2017;070025000012017NE000698;SERV.EXTRAORDINARIOS;INFORMAMOS A VOSSA SENHORIA QUE ELABORAMOS A FOLHA DE PAGAMENTO SUPLEMENTAR Nº 07 DE DEZEMBRO/2017, REFERENTE A ACERTOS FINANCEIROS DO PERIODO ELEITORAL/2014. P.A. 0006345-35.2017.6.07.8100. DADOS BANCARIOS OUTROS BANCOS;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;0,00;0,00;;29.841,25;;;;;;;;;0,00;29.841,25
14101;TRIBUNAL SUPERIOR ELEITORAL;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;02061057042690001;4269;PLEITOS ELEITORAIS;0000;PLEITOS ELEITORAIS - DESPESAS DIVERSAS;107670;FUN HOREXT;ELEIC - SERVICO EXTRAORDINARIO SERVIDORES;0100;RECURSOS ORDINARIOS;1;ORCAMENTO FISCAL;3;DESPESAS CORRENTES;1;PESSOAL E ENCARGOS SOCIAIS;92;DESPESAS DE EXERCICIOS ANTERIORES;319092;DESPESAS DE EXERCICIOS ANTERIORES;31909216;OUTRAS DESPESAS VARIAVEIS - PESSOAL CIVIL;5;GLOBAL;08;NAO SE APLICA;-8;19/12/2017;DEZ/2017;2017;070025000012017NE000698;SERV.EXTRAORDINARIOS;INFORMAMOS A VOSSA SENHORIA QUE ELABORAMOS A FOLHA DE PAGAMENTO SUPLEMENTAR Nº 07 DE DEZEMBRO/2017, REFERENTE A ACERTOS FINANCEIROS DO PERIODO ELEITORAL/2014. P.A. 0006345-35.2017.6.07.8100. DESCONTO DAS PENSOES ALIMENTICIAS BB;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;0,00;0,00;;1.318,10;;;;;;;;;0,00;1.318,10
14101;TRIBUNAL SUPERIOR ELEITORAL;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;02061057042690001;4269;PLEITOS ELEITORAIS;0000;PLEITOS ELEITORAIS - DESPESAS DIVERSAS;107670;FUN HOREXT;ELEIC - SERVICO EXTRAORDINARIO SERVIDORES;0100;RECURSOS ORDINARIOS;1;ORCAMENTO FISCAL;3;DESPESAS CORRENTES;1;PESSOAL E ENCARGOS SOCIAIS;92;DESPESAS DE EXERCICIOS ANTERIORES;319092;DESPESAS DE EXERCICIOS ANTERIORES;31909216;OUTRAS DESPESAS VARIAVEIS - PESSOAL CIVIL;5;GLOBAL;08;NAO SE APLICA;-8;19/12/2017;DEZ/2017;2017;070025000012017NE000698;SERV.EXTRAORDINARIOS;INFORMAMOS A VOSSA SENHORIA QUE ELABORAMOS A FOLHA DE PAGAMENTO SUPLEMENTAR Nº 07 DE DEZEMBRO/2017, REFERENTE A ACERTOS FINANCEIROS DO PERIODO ELEITORAL/2014. P.A. 0006345-35.2017.6.07.8100. DESCONTO DAS PENSOES ALIMENTICIAS CEF;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;0,00;0,00;;2,34;;;;;;;;;0,00;2,34
14101;TRIBUNAL SUPERIOR ELEITORAL;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;02061057042690001;4269;PLEITOS ELEITORAIS;0000;PLEITOS ELEITORAIS - DESPESAS DIVERSAS;107670;FUN HOREXT;ELEIC - SERVICO EXTRAORDINARIO SERVIDORES;0100;RECURSOS ORDINARIOS;1;ORCAMENTO FISCAL;3;DESPESAS CORRENTES;1;PESSOAL E ENCARGOS SOCIAIS;92;DESPESAS DE EXERCICIOS ANTERIORES;319092;DESPESAS DE EXERCICIOS ANTERIORES;31909216;OUTRAS DESPESAS VARIAVEIS - PESSOAL CIVIL;5;GLOBAL;08;NAO SE APLICA;-8;19/12/2017;DEZ/2017;2017;070025000012017NE000698;SERV.EXTRAORDINARIOS;INFORMAMOS A VOSSA SENHORIA QUE ELABORAMOS A FOLHA DE PAGAMENTO SUPLEMENTAR Nº 07 DE DEZEMBRO/2017, REFERENTE A ACERTOS FINANCEIROS DO PERIODO ELEITORAL/2014. P.A. 0006345-35.2017.6.07.8100. DESCONTO DAS PENSOES ALIMENTICIAS OUTROS BANCOS;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;0,00;0,00;;359,65;;;;;;;;;0,00;359,65
14101;TRIBUNAL SUPERIOR ELEITORAL;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;02061057042690001;4269;PLEITOS ELEITORAIS;0000;PLEITOS ELEITORAIS - DESPESAS DIVERSAS;107670;FUN HOREXT;ELEIC - SERVICO EXTRAORDINARIO SERVIDORES;0100;RECURSOS ORDINARIOS;1;ORCAMENTO FISCAL;3;DESPESAS CORRENTES;1;PESSOAL E ENCARGOS SOCIAIS;92;DESPESAS DE EXERCICIOS ANTERIORES;319092;DESPESAS DE EXERCICIOS ANTERIORES;31909216;OUTRAS DESPESAS VARIAVEIS - PESSOAL CIVIL;5;GLOBAL;08;NAO SE APLICA;-8;19/12/2017;DEZ/2017;2017;070025000012017NE000698;SERV.EXTRAORDINARIOS;INFORMAMOS A VOSSA SENHORIA QUE ELABORAMOS A FOLHA DE PAGAMENTO SUPLEMENTAR Nº 07 DE DEZEMBRO/2017, REFERENTE A ACERTOS FINANCEIROS DO PERIODO ELEITORAL/2014. P.A. 0006345-35.2017.6.07.8100. RECOLHIMENTO DE IRRF.;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;0,00;0,00;;749,19;;;;;;;;;0,00;749,19
