Unidade Orçamentária;;UG Executora;;PT;Ação Governo;;Plano Orçamentário;;PTRES;Fonte SOF;Fonte Recursos;Grupo Despesa;;DOTACAO INICIAL;DOTACAO ATUALIZADA;PROVISAO RECEBIDA;PROVISAO CONCEDIDA;DESTAQUE RECEBIDO;DESTAQUE CONCEDIDO;CREDITO DISPONIVEL;CREDITO INDISPONIVEL;DESPESAS PRE-EMPENHADAS A EMPENHAR;DESPESAS EMPENHADAS (CONTROLE EMPENHO);DESPESAS LIQUIDADAS (CONTROLE EMPENHO);DESPESAS INSCRITAS EM RPNP (CONTROLE EMPENHO);DESPESAS PAGAS (CONTROLE EMPENHO)
14107;TRIBUNAL REGIONAL ELEITORAL DO DIST. FEDERAL;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;02331057000M10053;00M1;BENEFICIOS ASSISTENCIAIS DECORRENTES DO AUXILIO-FUNERAL E NA;0001;AUXILIO-FUNERAL E NATALIDADE DE CIVIS;084776;0100;RECURSOS ORDINARIOS;3;OUTRAS DESPESAS CORRENTES;112.788,00;33.788,00;;;;;1.342,79;0,00;;32.445,21;32.445,21;;32.445,21
14107;TRIBUNAL REGIONAL ELEITORAL DO DIST. FEDERAL;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;02331057020100053;2010;ASSISTENCIA PRE-ESCOLAR AOS DEPENDENTES DOS SERVIDORES CIVIS;0001;ASSISTENCIA PRE-ESCOLAR AOS DEPENDENTES DOS SERVIDORES CIVIS E DE EMPREGADOS;084777;0100;RECURSOS ORDINARIOS;3;OUTRAS DESPESAS CORRENTES;477.792,00;484.064,00;;;;;30.396,05;0,00;;453.667,95;453.667,95;;453.667,95
14107;TRIBUNAL REGIONAL ELEITORAL DO DIST. FEDERAL;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;02331057020110053;2011;AUXILIO-TRANSPORTE AOS SERVIDORES CIVIS, EMPREGADOS E MILITA;0001;AUXILIO-TRANSPORTE - CIVIS;084778;0100;RECURSOS ORDINARIOS;3;OUTRAS DESPESAS CORRENTES;6.504,00;19.244,00;;;;;6.721,02;;;12.522,98;12.522,98;;12.522,98
14107;TRIBUNAL REGIONAL ELEITORAL DO DIST. FEDERAL;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;02331057020120053;2012;AUXILIO-ALIMENTACAO AOS SERVIDORES CIVIS, EMPREGADOS E MILIT;0001;AUXILIO-ALIMENTACAO DE CIVIS;084779;0100;RECURSOS ORDINARIOS;3;OUTRAS DESPESAS CORRENTES;3.959.844,00;4.085.404,00;;;;;27.205,77;0,00;;4.058.198,23;4.058.198,23;;4.058.198,23
14107;TRIBUNAL REGIONAL ELEITORAL DO DIST. FEDERAL;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;09272008901810053;0181;APOSENTADORIAS E PENSOES CIVIS DA UNIAO;0000;APOSENTADORIAS E PENSOES CIVIS DA UNIAO;084775;0100;RECURSOS ORDINARIOS;1;PESSOAL E ENCARGOS SOCIAIS;129.896,00;1.830.911,00;;;;;0,00;0,00;;1.830.911,00;1.801.580,25;29.330,75;1.801.580,25
14107;TRIBUNAL REGIONAL ELEITORAL DO DIST. FEDERAL;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;09272008901810053;0181;APOSENTADORIAS E PENSOES CIVIS DA UNIAO;0000;APOSENTADORIAS E PENSOES CIVIS DA UNIAO;084775;0156;CONTRIBUICAO PLANO SEGURIDADE SOCIAL SERVIDOR;1;PESSOAL E ENCARGOS SOCIAIS;5.829.037,00;5.829.037,00;;;;;0,00;;;5.829.037,00;5.829.037,00;;5.829.037,00
14107;TRIBUNAL REGIONAL ELEITORAL DO DIST. FEDERAL;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;09272008901810053;0181;APOSENTADORIAS E PENSOES CIVIS DA UNIAO;0000;APOSENTADORIAS E PENSOES CIVIS DA UNIAO;084775;0169;CONTRIB.PATRONAL P/PLANO DE SEGURID.SOC.SERV.;1;PESSOAL E ENCARGOS SOCIAIS;9.329.067,00;9.329.067,00;;;;;0,00;;;9.329.067,00;9.329.067,00;;9.329.067,00
14107;TRIBUNAL REGIONAL ELEITORAL DO DIST. FEDERAL;070027;TRIBUNAL REGIONAL ELEITORAL DE TOCANTINS;02301057020040053;2004;ASSISTENCIA MEDICA E ODONTOLOGICA AOS SERVIDORES CIVIS, EMPR;0001;ASSISTENCIA MEDICA E ODONTOLOGICA DE CIVIS - COMPLEMENTACAO DA UNIAO;084780;0100;RECURSOS ORDINARIOS;3;OUTRAS DESPESAS CORRENTES;;;12.000,00;809,61;;;0,00;0,00;0,00;11.190,39;11.190,39;;11.190,39
14107;TRIBUNAL REGIONAL ELEITORAL DO DIST. FEDERAL;114702;FUNDACAO ESCOLA NACIONAL DE ADM. PUBLICA;02122057020GP0053;20GP;JULGAMENTO DE CAUSAS E GESTAO ADMINISTRATIVA NA JUSTICA ELEI;0002;CAPACITACAO DE RECURSOS HUMANOS;084783;0100;RECURSOS ORDINARIOS;3;OUTRAS DESPESAS CORRENTES;;;;;20.467,20;;0,00;0,00;0,00;20.467,20;20.467,20;;20.467,20
14126;TRIBUNAL REGIONAL ELEITORAL DE TOCANTINS;070025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;02301057020040017;2004;ASSISTENCIA MEDICA E ODONTOLOGICA AOS SERVIDORES CIVIS, EMPR;0001;ASSISTENCIA MEDICA E ODONTOLOGICA DE CIVIS - COMPLEMENTACAO DA UNIAO;084809;0100;RECURSOS ORDINARIOS;3;OUTRAS DESPESAS CORRENTES;;;200.000,00;;;;0,00;;;200.000,00;200.000,00;;200.000,00
Total;;;;;;;;;;;;;;86.319.276,00;102.730.080,00;1.982.244,23;12.809,61;20.467,20;23.082,20;67.279,60;0,00;0,00;104.629.620,02;103.672.412,99;957.207,03;103.672.412,99
